"","ModuleColors","genes"
"9698","blue","LOC715822"
"9702","blue","LOC715859"
"9710","blue","LOC715927"
"9718","blue","LOC715973"
"9726","blue","LOC716000"
"9727","blue","LOC716014"
"9737","blue","LOC716080"
"9742","blue","LOC716109"
"9755","blue","LOC716181"
"9770","blue","LOC716277"
"9775","blue","LOC716305"
"9779","blue","LOC716328"
"9789","blue","LOC716396"
"9809","blue","LOC716522"
"9812","blue","LOC716561"
"9817","blue","LOC716574"
"9825","blue","LOC716627"
"9828","blue","LOC716643"
"9832","blue","LOC716649"
"9837","blue","LOC716667"
"9842","blue","LOC716686"
"9845","blue","LOC716703"
"9857","blue","LOC716766"
"9867","blue","LOC716840"
"9868","blue","LOC716849"
"9877","blue","LOC716890"
"9882","blue","LOC716916"
"9885","blue","LOC716922"
"9895","blue","LOC716978"
"9897","blue","LOC716993"
"9906","blue","LOC717039"
"9910","blue","LOC717044"
"9916","blue","LOC717082"
"9938","blue","LOC717233"
"9948","blue","LOC717255"
"9949","blue","LOC717274"
"9962","blue","LOC717358"
"9992","blue","LOC717524"
"9994","blue","LOC717530"
"9996","blue","LOC717534"
"10000","blue","LOC717567"
"10026","blue","LOC717729"
"10038","blue","LOC717782"
"10042","blue","LOC717810"
"10059","blue","LOC717871"
"10063","blue","LOC717880"
"10069","blue","LOC717924"
"10071","blue","LOC717930"
"10072","blue","LOC717931"
"10073","blue","LOC717940"
"10074","blue","LOC717946"
"10075","blue","LOC717948"
"10084","blue","LOC717988"
"10094","blue","LOC718045"
"10108","blue","LOC718138"
"10110","blue","LOC718144"
"10119","blue","LOC718193"
"10124","blue","LOC718205"
"10151","blue","LOC718383"
"10153","blue","LOC718422"
"10157","blue","LOC718436"
"10166","blue","LOC718467"
"10168","blue","LOC718481"
"10187","blue","LOC718576"
"10189","blue","LOC718591"
"10198","blue","LOC718648"
"10204","blue","LOC718691"
"10217","blue","LOC718771"
"10224","blue","LOC718825"
"10250","blue","LOC718949"
"10252","blue","LOC718975"
"10255","blue","LOC718981"
"10258","blue","LOC718989"
"10261","blue","LOC719020"
"10271","blue","LOC719052"
"10273","blue","LOC719056"
"10278","blue","LOC719071"
"10289","blue","LOC719120"
"10297","blue","LOC719161"
"10299","blue","LOC719179"
"10305","blue","LOC719214"
"10307","blue","LOC719217"
"10317","blue","LOC719328"
"10339","blue","LOC719421"
"10344","blue","LOC719447"
"10348","blue","LOC719481"
"10350","blue","LOC719492"
"10364","blue","LOC719557"
"10365","blue","LOC719560"
"10369","blue","LOC719585"
"10370","blue","LOC719594"
"10384","blue","LOC719673"
"10395","blue","LOC719747"
"10398","blue","LOC719750"
"10402","blue","LOC719765"
"10406","blue","LOC719786"
"10414","blue","LOC719887"
"10416","blue","LOC719891"
"10419","blue","LOC719911"
"10420","blue","LOC719921"
"10463","blue","LOC720140"
"10468","blue","LOC720175"
"10469","blue","LOC720182"
"10484","blue","LOC720269"
"10489","blue","LOC720295"
"10500","blue","LOC720381"
"10502","blue","LOC720390"
"10505","blue","LOC720405"
"10507","blue","LOC720421"
"10508","blue","LOC720422"
"10525","blue","LOC720625"
"10529","blue","LOC720662"
"10537","blue","LOC720772"
"10540","blue","LOC720784"
"10573","blue","LOC721097"
"10583","blue","LOC721152"
"10593","blue","LOC721211"
"10598","blue","LOC721231"
"10611","blue","LOC721332"
"10613","blue","LOC721357"
"10616","blue","LOC721382"
"10621","blue","LOC721417"
"10629","blue","LOC721450"
"10632","blue","LOC721484"
"10634","blue","LOC721508"
"10642","blue","LOC721566"
"10647","blue","LOC721584"
"10650","blue","LOC721594"
"10653","blue","LOC721605"
"10660","blue","LOC721647"
"10665","blue","LOC721689"
"10666","blue","LOC721694"
"10668","blue","LOC721706"
"10683","blue","LOC721818"
"10684","blue","LOC721819"
"10703","blue","LOC721915"
"10704","blue","LOC721917"
"10721","blue","LOC722045"
"10742","blue","LOC722138"
"10745","blue","LOC722159"
"10747","blue","LOC722170"
"10750","blue","LOC722177"
"10751","blue","LOC722180"
"10754","blue","LOC722190"
"10766","blue","LOC722251"
"10774","blue","LOC722281"
"10778","blue","LOC722305"
"10782","blue","LOC722315"
"10792","blue","LOC722360"
"10798","blue","LOC722433"
"10803","blue","LOC722483"
"10806","blue","LOC722502"
"10814","blue","LOC722561"
"10826","blue","LOC722672"
"10838","blue","LOC722757"
"10845","blue","LOC722864"
"10850","blue","LOC722945"
"10859","blue","LOC723355"
"10862","blue","LOC723474"
"10864","blue","LOC723590"
"10865","blue","LOC723684"
"10866","blue","LOC728095"
"10867","blue","LOC728190"
"10868","blue","LOC728558"
"10872","blue","LOC728855"
"10875","blue","LOC729652"
"10876","blue","LOC729678"
"10878","blue","LOC729683"
"10883","blue","LOC731139"
"10885","blue","LOC732275"
"10888","blue","LOC80054"
"10889","blue","LOC84931"
"10891","blue","LOC90246"
"10907","blue","LPAR3"
"10930","blue","LRFN1"
"10941","blue","LRMP"
"10944","blue","LRP2"
"10948","blue","LRP5"
"10956","blue","LRRC16A"
"10959","blue","LRRC19"
"10967","blue","LRRC3"
"10968","blue","LRRC31"
"10972","blue","LRRC37A"
"10989","blue","LRRC59"
"10993","blue","LRRC69"
"10998","blue","LRRC8E"
"11006","blue","LRRN4"
"11011","blue","LRTM1"
"11036","blue","LTC4S"
"11046","blue","LY6D"
"11048","blue","LY6G5C"
"11052","blue","LY86-AS1"
"11058","blue","LYNX1"
"11073","blue","LYZL6"
"11080","blue","MAB21L2"
"11081","blue","MAB21L3"
"11082","blue","MACC1"
"11099","blue","MAGEA11"
"11100","blue","MAGEA2"
"11101","blue","MAGEA9"
"11103","blue","MAGEB18"
"11106","blue","MAGEB6"
"11124","blue","MALT1"
"11137","blue","MAMU-DPB"
"11140","blue","MAMU-E"
"11158","blue","MAP1LC3B2"
"11171","blue","MAP3K2"
"11175","blue","MAP3K7"
"11214","blue","MAS1"
"11215","blue","MASP1"
"11233","blue","MB"
"11250","blue","MC2R"
"11262","blue","MCHR2"
"11267","blue","MCM3AP"
"11271","blue","MCM6"
"11276","blue","MCMDC2"
"11282","blue","MCTP2"
"11310","blue","MED16"
"11311","blue","MED17"
"11314","blue","MED20"
"11319","blue","MED26"
"11333","blue","MEGF11"
"11343","blue","MEP1A"
"11350","blue","MESP1"
"11376","blue","METTL8"
"11408","blue","MGC11082"
"11411","blue","MGC15705"
"11414","blue","MGC23270"
"11415","blue","MGC23284"
"11418","blue","MGC2889"
"11420","blue","MGC39545"
"11422","blue","MGC4473"
"11423","blue","MGC45800"
"11424","blue","MGC45922"
"11441","blue","MICALCL"
"11448","blue","MIER2"
"11470","blue","MIR31HG"
"11479","blue","MIXL1"
"11505","blue","MLLT4-AS1"
"11519","blue","MMP1"
"11520","blue","MMP10"
"11522","blue","MMP12"
"11527","blue","MMP19"
"11530","blue","MMP21"
"11535","blue","MMP27"
"11559","blue","MOGAT1"
"11560","blue","MOGAT2"
"11562","blue","MORC1"
"11570","blue","MOS"
"11583","blue","MPHOSPH9"
"11612","blue","MRGPRX1"
"11613","blue","MRGPRX2"
"11632","blue","MRPL30"
"11642","blue","MRPL42"
"11662","blue","MRPS21"
"11682","blue","MS4A1"
"11683","blue","MS4A15"
"11685","blue","MS4A3"
"11688","blue","MS4A6A"
"11690","blue","MS4A8B"
"11693","blue","MSH4"
"11696","blue","MSI1"
"11721","blue","MTCP1"
"11754","blue","MTTP"
"11757","blue","MUC15"
"11760","blue","MUC20"
"11766","blue","MUM1L1"
"11784","blue","MYBL1"
"11800","blue","MYH13"
"11801","blue","MYH14"
"11802","blue","MYH2"
"11804","blue","MYH4"
"11817","blue","MYLK4"
"11830","blue","MYO3B"
"11844","blue","MYOZ1"
"11852","blue","MZB1"
"11876","blue","NACC2"
"11881","blue","NAG18"
"11882","blue","NAGA"
"11885","blue","NAGS"
"11887","blue","NAIP"
"11912","blue","NAT2"
"11913","blue","NAT6"
"11933","blue","NCCRP1"
"11948","blue","NCR1"
"11978","blue","NDUFB10"
"12010","blue","NEK10"
"12030","blue","NEUROD4"
"12034","blue","NEUROG3"
"12041","blue","NFATC2"
"12069","blue","NGFR"
"12081","blue","NID1"
"12095","blue","NKD1"
"12097","blue","NKG2D"
"12099","blue","NKRF"
"12105","blue","NKX6-1"
"12115","blue","NLRP11"
"12116","blue","NLRP12"
"12120","blue","NLRP4"
"12140","blue","NNMT"
"12142","blue","NOBOX"
"12145","blue","NOC4L"
"12174","blue","NOTCH4"
"12179","blue","NOX1"
"12184","blue","NOXRED1"
"12188","blue","NPB"
"12201","blue","NPHP3-AS1"
"12207","blue","NPPB"
"12209","blue","NPR1"
"12220","blue","NPY2R"
"12223","blue","NR0B2"
"12227","blue","NR1H3"
"12229","blue","NR1I2"
"12243","blue","NR6A1"
"12273","blue","NSL1"
"12285","blue","NT5C2"
"12292","blue","NTF3"
"12298","blue","NTN5"
"12302","blue","NTRK1"
"12335","blue","NUMBL"
"12346","blue","NUP43"
"12362","blue","NXPH4"
"12368","blue","OAS2"
"12369","blue","OAS3"
"12386","blue","ODF3"
"12388","blue","ODF3L1"
"12397","blue","OGN"
"12410","blue","OLR1"
"12413","blue","ONECUT1"
"12421","blue","OPN5"
"12422","blue","OPRD1"
"12425","blue","OPTC"
"12428","blue","OR10A7"
"12433","blue","OR10P1"
"12434","blue","OR10Q1"
"12435","blue","OR12D2"
"12437","blue","OR13A1"
"12438","blue","OR13C8"
"12439","blue","OR14J1"
"12440","blue","OR1F1"
"12443","blue","OR1S1"
"12449","blue","OR2B3"
"12451","blue","OR2D3"
"12452","blue","OR2F1"
"12454","blue","OR2J2"
"12455","blue","OR2J3"
"12458","blue","OR4A47"
"12459","blue","OR4B1"
"12463","blue","OR4D6"
"12466","blue","OR4F15"
"12468","blue","OR4F6"
"12469","blue","OR4K1"
"12475","blue","OR4N2"
"12476","blue","OR4N4"
"12477","blue","OR4N5"
"12478","blue","OR4S2"
"12480","blue","OR51E1"
"12483","blue","OR51M1"
"12484","blue","OR51S1"
"12491","blue","OR5AU1"
"12493","blue","OR5F1"
"12494","blue","OR5I1"
"12495","blue","OR5K1"
"12496","blue","OR5L1"
"12500","blue","OR5V1"
"12501","blue","OR6C4"
"12503","blue","OR6N1"
"12504","blue","OR6X1"
"12507","blue","OR8B12"
"12508","blue","OR8B4"
"12510","blue","OR8G5"
"12511","blue","OR8H3"
"12512","blue","OR8I2"
"12513","blue","OR8K1"
"12514","blue","OR9I1"
"12515","blue","OR9K2"
"12542","blue","OSR1"
"12551","blue","OTOR"
"12553","blue","OTP"
"12555","blue","OTUB2"
"12566","blue","OXER1"
"12567","blue","OXGR1"
"12580","blue","P2RY1"
"12584","blue","P2RY4"
"12585","blue","P2RY6"
"12586","blue","P2RY8"
"12589","blue","P4HA3"
"12599","blue","PACRG-AS1"
"12606","blue","PADI3"
"12608","blue","PAEP"
"12653","blue","PAQR7"
"12661","blue","PARD6G-AS1"
"12675","blue","PARPBP"
"12680","blue","PATE2"
"12681","blue","PATE4"
"12685","blue","PAX1"
"12687","blue","PAX3"
"12690","blue","PAX7"
"12695","blue","PBOV1"
"12702","blue","PCBP1-AS1"
"12708","blue","PCDH15"
"12719","blue","PCDHA7"
"12722","blue","PCDHB1"
"12727","blue","PCDHB16"
"12728","blue","PCDHB2"
"12733","blue","PCDHB8"
"12754","blue","PCOLCE"
"12767","blue","PDC"
"12784","blue","PDE3A"
"12793","blue","PDE6C"
"12795","blue","PDE6H"
"12799","blue","PDE8B"
"12813","blue","PDK1"
"12815","blue","PDK4"
"12828","blue","PDX1"
"12832","blue","PDZD7"
"12834","blue","PDZD9"
"12837","blue","PDZK1P1"
"12897","blue","PGLYRP3"
"12915","blue","PHEX"
"12930","blue","PHF2P1"
"12940","blue","PHKG2"
"12945","blue","PHOX2B"
"12951","blue","PI15"
"12952","blue","PI16"
"12971","blue","PIGL"
"12991","blue","PIK3CG"
"13022","blue","PITPNM3"
"13024","blue","PITX1"
"13026","blue","PIWIL3"
"13030","blue","PKD1L1"
"13036","blue","PKHD1"
"13055","blue","PLA2G2A"
"13056","blue","PLA2G2D"
"13069","blue","PLAC8L1"
"13094","blue","PLD5"
"13095","blue","PLD6"
"13111","blue","PLEKHG6"
"13121","blue","PLGLB2"
"13125","blue","PLIN5"
"13153","blue","PLXND1"
"13157","blue","PMCHL1"
"13160","blue","PMFBP1"
"13170","blue","PMS2P1"
"13175","blue","PNLIP"
"13178","blue","PNLIPRP3"
"13237","blue","POM121L10P"
"13238","blue","POM121L2"
"13240","blue","POM121L9P"
"13252","blue","POPDC2"
"13261","blue","POU4F2"
"13274","blue","PPARD"
"13280","blue","PPBPP2"
"13325","blue","PPP1R1C"
"13328","blue","PPP1R3A"
"13330","blue","PPP1R3D"
"13331","blue","PPP1R8"
"13337","blue","PPP2R2A"
"13357","blue","PPP6R3"
"13359","blue","PPPDE2"
"13364","blue","PPYR1"
"13370","blue","PRAMEF10"
"13371","blue","PRAMEF9"
"13391","blue","PREPL"
"13400","blue","PRIM2"
"13408","blue","PRKAG3"
"13430","blue","PRM1"
"13443","blue","PROM2"
"13449","blue","PROX2"
"13463","blue","PRPH"
"13490","blue","PRRX2"
"13492","blue","PRSS2"
"13493","blue","PRSS21"
"13496","blue","PRSS33"
"13497","blue","PRSS36"
"13500","blue","PRSS48"
"13502","blue","PRSS54"
"13503","blue","PRSS55"
"13505","blue","PRSS8"
"13512","blue","PSG1"
"13526","blue","PSMB11"
"13554","blue","PTAFR"
"13563","blue","PTCRA"
"13568","blue","PTGDR"
"13604","blue","PTPN22"
"13605","blue","PTPN23"
"13608","blue","PTPN6"
"13624","blue","PTPRU"
"13646","blue","PVRL4"
"13649","blue","PWRN1"
"13650","blue","PWRN2"
"13661","blue","PYGO2"
"13662","blue","PYHIN1"
"13664","blue","PYROXD2"
"13668","blue","QPCTL"
"13689","blue","RAB25"
"13691","blue","RAB27B"
"13701","blue","RAB38"
"13702","blue","RAB39"
"13714","blue","RAB43"
"13732","blue","RABL3"
"13765","blue","RALGAPB"
"13773","blue","RANBP10"
"13785","blue","RAPGEF3"
"13799","blue","RASA3"
"13806","blue","RASGRF1"
"13810","blue","RASGRP4"
"13813","blue","RASL11A"
"13825","blue","RAX"
"13864","blue","RBM46"
"13869","blue","RBMS2"
"13884","blue","RCBTB2"
"13893","blue","RCVRN"
"13913","blue","REG1B"
"13940","blue","RFPL1-AS1"
"13941","blue","RFT1"
"13948","blue","RFX6"
"13955","blue","RGL4"
"13968","blue","RGS18"
"13979","blue","RGS9BP"
"13989","blue","RHD"
"14002","blue","RHOXF1"
"14017","blue","RIN1"
"14024","blue","RIPK1"
"14025","blue","RIPK2"
"14027","blue","RIPK4"
"14042","blue","RNASE11"
"14043","blue","RNASE13"
"14071","blue","RNF148"
"14078","blue","RNF170"
"14083","blue","RNF186"
"14086","blue","RNF213"
"14105","blue","RNLS"
"14165","blue","RPL41"
"14211","blue","RPUSD1"
"14224","blue","RRN3P1"
"14225","blue","RRN3P2"
"14240","blue","RSG1"
"14252","blue","RTD1B"
"14262","blue","RTP2"
"14295","blue","S100A7A"
"14319","blue","SAMD12"
"14320","blue","SAMD3"
"14327","blue","SAMSN1"
"14340","blue","SASH1"
"14365","blue","SCARF2"
"14373","blue","SCGB1C1"
"14383","blue","SCN10A"
"14384","blue","SCN11A"
"14410","blue","SDAD1"
"14438","blue","SEC14L2"
"14440","blue","SEC14L4"
"14465","blue","SELE"
"14467","blue","SELL"
"14472","blue","SEMA3B"
"14490","blue","SEMG2"
"14493","blue","SENP3"
"14525","blue","SERPINA12"
"14528","blue","SERPINA4"
"14530","blue","SERPINA6"
"14531","blue","SERPINA7"
"14536","blue","SERPINB2"
"14539","blue","SERPINB5"
"14545","blue","SERPINE1"
"14590","blue","SFTA2"
"14592","blue","SFTPB"
"14593","blue","SFTPC"
"14600","blue","SGCA"
"14612","blue","SGOL1"
"14622","blue","SH2D1A"
"14625","blue","SH2D3A"
"14647","blue","SH3TC2"
"14648","blue","SH3YL1"
"14681","blue","SIGLEC11"
"14694","blue","SIM1"
"14699","blue","SIPA1"
"14712","blue","SIX1"
"14719","blue","SKAP1"
"14727","blue","SLA/LP"
"14733","blue","SLC10A2"
"14747","blue","SLC13A1"
"14752","blue","SLC14A2"
"14753","blue","SLC15A1"
"14794","blue","SLC23A1"
"14795","blue","SLC23A3"
"14797","blue","SLC24A2"
"14803","blue","SLC25A10"
"14811","blue","SLC25A21"
"14820","blue","SLC25A34"
"14833","blue","SLC25A5-AS1"
"14834","blue","SLC25A51"
"14835","blue","SLC25A53"
"14840","blue","SLC26A3"
"14843","blue","SLC26A7"
"14844","blue","SLC26A9"
"14846","blue","SLC27A2"
"14858","blue","SLC2A14"
"14870","blue","SLC30A8"
"14889","blue","SLC35F2"
"14897","blue","SLC37A2"
"14909","blue","SLC39A14"
"14931","blue","SLC4A1"
"14937","blue","SLC4A5"
"14942","blue","SLC5A1"
"14945","blue","SLC5A12"
"14950","blue","SLC5A7"
"14952","blue","SLC5A9"
"14955","blue","SLC6A14"
"14961","blue","SLC6A2"
"14962","blue","SLC6A20"
"14969","blue","SLC6A9"
"14972","blue","SLC7A13"
"14986","blue","SLC9A3"
"14987","blue","SLC9A3R2"
"15016","blue","SLPI"
"15020","blue","SLURP1"
"15064","blue","SMTN"
"15069","blue","SMURF1"
"15071","blue","SMYD1"
"15077","blue","SNAI3"
"15096","blue","SNORA78"
"15127","blue","SNX25"
"15166","blue","SOX13"
"15167","blue","SOX17"
"15192","blue","SPACA4"
"15205","blue","SPATA13"
"15218","blue","SPATA6L"
"15230","blue","SPDYE1"
"15231","blue","SPECC1"
"15235","blue","SPEM1"
"15247","blue","SPINK1"
"15248","blue","SPINK13"
"15249","blue","SPINK4"
"15251","blue","SPINK6"
"15252","blue","SPINK7"
"15253","blue","SPINLW1"
"15258","blue","SPOCD1"
"15271","blue","SPRR1B"
"15279","blue","SPSB4"
"15286","blue","SPTBN5"
"15318","blue","SRPRB"
"15320","blue","SRPX2"
"15322","blue","SRRM2-AS1"
"15347","blue","SSR2"
"15376","blue","ST6GALNAC6"
"15386","blue","ST8SIA6"
"15387","blue","STAB2"
"15390","blue","STAC3"
"15399","blue","STAP1"
"15407","blue","STARD6"
"15412","blue","STAT5B"
"15414","blue","STATH"
"15415","blue","STAU1"
"15419","blue","STEAP1B"
"15428","blue","STK10"
"15448","blue","STL"
"15456","blue","STON1-GTF2A1L"
"15483","blue","STXBP2"
"15502","blue","SULT1A1"
"15503","blue","SULT1B1"
"15505","blue","SULT2A1"
"15507","blue","SUMF2"
"15522","blue","SUSD2"
"15535","blue","SVOPL"
"15542","blue","SYCP1"
"15570","blue","SYT15"
"15577","blue","SYT9"
"15583","blue","TAAR1"
"15622","blue","TAL1"
"15626","blue","TANK"
"15638","blue","TARP"
"15641","blue","TAS1R2"
"15642","blue","TAS2R1"
"15643","blue","TAS2R10"
"15644","blue","TAS2R13"
"15645","blue","TAS2R16"
"15646","blue","TAS2R20"
"15647","blue","TAS2R3"
"15649","blue","TAS2R39"
"15650","blue","TAS2R4"
"15651","blue","TAS2R40"
"15653","blue","TAS2R42"
"15654","blue","TAS2R5"
"15656","blue","TAS2R7"
"15658","blue","TATDN2"
"15672","blue","TBC1D20"
"15677","blue","TBC1D27"
"15687","blue","TBCK"
"15689","blue","TBKBP1"
"15701","blue","TBX21"
"15702","blue","TBX22"
"15705","blue","TBX5"
"15706","blue","TBX5-AS1"
"15707","blue","TBX6"
"15710","blue","TCAM1P"
"15720","blue","TCF21"
"15733","blue","TCP11"
"15736","blue","TCTE1"
"15737","blue","TCTE3"
"15740","blue","TDGF1P3"
"15741","blue","TDO2"
"15756","blue","TECTB"
"15760","blue","TEKT3"
"15775","blue","TEX12"
"15776","blue","TEX14"
"15777","blue","TEX19"
"15784","blue","TFAP2A"
"15804","blue","TGFA"
"15838","blue","THBS4"
"15848","blue","THRSP"
"15858","blue","TIA1"
"15861","blue","TICAM1"
"15878","blue","TINAGL1"
"15906","blue","TLR10"
"15907","blue","TLR2"
"15921","blue","TM4SF1"
"15923","blue","TM4SF20"
"15924","blue","TM4SF4"
"15928","blue","TM7SF4"
"15935","blue","TMC1"
"15938","blue","TMC5"
"15942","blue","TMCC2"
"15946","blue","TMCO4"
"15953","blue","TMED6"
"16005","blue","TMEM174"
"16006","blue","TMEM175"
"16017","blue","TMEM184C"
"16040","blue","TMEM213"
"16041","blue","TMEM215"
"16060","blue","TMEM35"
"16077","blue","TMEM54"
"16092","blue","TMEM79"
"16103","blue","TMIGD1"
"16112","blue","TMPRSS11A"
"16113","blue","TMPRSS11B"
"16114","blue","TMPRSS11D"
"16116","blue","TMPRSS11F"
"16117","blue","TMPRSS12"
"16120","blue","TMPRSS4"
"16149","blue","TNFRSF14"
"16150","blue","TNFRSF17"
"16157","blue","TNFRSF9"
"16162","blue","TNFSF15"
"16165","blue","TNFSF8"
"16183","blue","TNP1"
"16190","blue","TNS1"
"16226","blue","TP63"
"16233","blue","TPH2"
"16244","blue","TPRA1"
"16254","blue","TRAF1"
"16262","blue","TRAF6"
"16282","blue","TREM1"
"16288","blue","TRHR"
"16292","blue","TRIM10"
"16306","blue","TRIM29"
"16314","blue","TRIM42"
"16323","blue","TRIM55"
"16327","blue","TRIM60"
"16336","blue","TRIM78P"
"16338","blue","TRIML1"
"16345","blue","TRMT10A"
"16368","blue","TRPC5"
"16370","blue","TRPM1"
"16373","blue","TRPM6"
"16379","blue","TRPV5"
"16395","blue","TSHB"
"16400","blue","TSKS"
"16402","blue","TSLP"
"16404","blue","TSNARE1"
"16422","blue","TSPEAR"
"16432","blue","TSSK1B"
"16435","blue","TSSK6"
"16445","blue","TTC21B"
"16454","blue","TTC30B"
"16457","blue","TTC36"
"16459","blue","TTC38"
"16469","blue","TTF2"
"16476","blue","TTLL2"
"16479","blue","TTLL6"
"16484","blue","TUB"
"16486","blue","TUBA8"
"16487","blue","TUBAL3"
"16516","blue","TXNDC15"
"16532","blue","TYSND1"
"16538","blue","UACA"
"16539","blue","UAP1L1"
"16598","blue","UBXN11"
"16602","blue","UCA1"
"16621","blue","UGT2A3"
"16623","blue","UGT2B4"
"16625","blue","UGT3A1"
"16633","blue","ULBP2"
"16635","blue","UMOD"
"16643","blue","UNC45B"
"16646","blue","UNC5C"
"16650","blue","UNC93B1"
"16659","blue","UPK3A"
"16680","blue","USH1C"
"16690","blue","USP19"
"16697","blue","USP26"
"16714","blue","USP46-AS1"
"16718","blue","USP5"
"16722","blue","USP6NL"
"16735","blue","UTS2"
"16736","blue","UTS2D"
"16747","blue","VAMP8"
"16759","blue","VAX2"
"16766","blue","VENTXP1"
"16770","blue","VGLL1"
"16775","blue","VILL"
"16786","blue","VN1R10P"
"16787","blue","VNN1"
"16792","blue","VPREB3"
"16827","blue","VTI1A"
"16830","blue","VWA2"
"16831","blue","VWA3A"
"16855","blue","WDFY4"
"16871","blue","WDR4"
"16885","blue","WDR65"
"16889","blue","WDR72"
"16899","blue","WDR96"
"16904","blue","WFDC10A"
"16906","blue","WFDC12"
"16907","blue","WFDC13"
"16909","blue","WFDC5"
"16925","blue","WISP1"
"16926","blue","WISP3"
"16934","blue","WNT11"
"16936","blue","WNT2"
"16941","blue","WNT6"
"16945","blue","WNT8B"
"16956","blue","WWC2"
"16968","blue","XDH"
"16971","blue","XIRP1"
"16978","blue","XPNPEP2"
"16980","blue","XPO4"
"17018","blue","ZACN"
"17023","blue","ZAR1"
"17048","blue","ZBTB37"
"17065","blue","ZBTB8B"
"17069","blue","ZC3H12A"
"17072","blue","ZC3H12D"
"17092","blue","ZCWPW2"
"17110","blue","ZDHHC8P1"
"17176","blue","ZNF107"
"17185","blue","ZNF137P"
"17186","blue","ZNF138"
"17195","blue","ZNF157"
"17202","blue","ZNF175"
"17209","blue","ZNF185"
"17231","blue","ZNF229"
"17238","blue","ZNF24"
"17242","blue","ZNF252P"
"17243","blue","ZNF252P-AS1"
"17267","blue","ZNF296"
"17281","blue","ZNF334"
"17330","blue","ZNF467"
"17338","blue","ZNF493"
"17373","blue","ZNF560"
"17391","blue","ZNF589"
"17394","blue","ZNF594"
"17427","blue","ZNF663"
"17450","blue","ZNF702P"
"17452","blue","ZNF704"
"17454","blue","ZNF709"
"17457","blue","ZNF717"
"17465","blue","ZNF750"
"17468","blue","ZNF764"
"17476","blue","ZNF778"
"17491","blue","ZNF804B"
"17497","blue","ZNF826P"
"17508","blue","ZNF876P"
"17521","blue","ZPBP"
"17523","blue","ZPLD1"
"17530","blue","ZSCAN12P1"
"17533","blue","ZSCAN20"
"17542","blue","ZSWIM2"
"17551","blue","ZYG11A"
"25","brown","ABCA2"
"30","brown","ABCA8"
"32","brown","ABCB1"
"36","brown","ABCB6"
"46","brown","ABCC5"
"47","brown","ABCC6P1"
"54","brown","ABCG2"
"59","brown","ABHD12B"
"64","brown","ABHD2"
"73","brown","ABLIM2"
"81","brown","ABTB1"
"84","brown","ACACB"
"85","brown","ACAD10"
"86","brown","ACAD8"
"87","brown","ACAD9"
"99","brown","ACBD5"
"101","brown","ACCN3"
"119","brown","ACOT4"
"120","brown","ACOT6"
"136","brown","ACSF2"
"142","brown","ACSM5"
"144","brown","ACSS2"
"156","brown","ACTN4"
"158","brown","ACTR1B"
"181","brown","ADAM11"
"190","brown","ADAM22"
"192","brown","ADAM9"
"195","brown","ADAMTS10"
"199","brown","ADAMTS17"
"208","brown","ADAMTS8"
"215","brown","ADARB1"
"221","brown","ADCK3"
"224","brown","ADCY10"
"229","brown","ADCY8"
"243","brown","ADHFE1"
"246","brown","ADIPOR1"
"248","brown","ADK"
"254","brown","ADORA2B"
"275","brown","AFAP1L2"
"276","brown","AFF1"
"280","brown","AFG3L2"
"286","brown","AGAP2"
"298","brown","AGPAT1"
"300","brown","AGPAT3"
"312","brown","AGT"
"319","brown","AGXT2L1"
"324","brown","AHCYL2"
"376","brown","ALDH1A2"
"379","brown","ALDH1L1"
"389","brown","ALDOA"
"391","brown","ALDOC"
"400","brown","ALK"
"423","brown","AMACR"
"437","brown","AMPD3"
"440","brown","AMY2A"
"458","brown","ANK1"
"485","brown","ANKRD29"
"489","brown","ANKRD33B"
"491","brown","ANKRD34C"
"493","brown","ANKRD37"
"510","brown","ANKZF1"
"522","brown","ANUBL1"
"523","brown","ANXA1"
"529","brown","ANXA4"
"531","brown","ANXA6"
"540","brown","AP1M1"
"553","brown","AP4B1"
"563","brown","APBB1IP"
"565","brown","APBB3"
"571","brown","APH1B"
"590","brown","APOE"
"594","brown","APOLD1"
"598","brown","APP"
"616","brown","ARAP2"
"619","brown","AREGB"
"632","brown","ARHGAP10"
"637","brown","ARHGAP22"
"641","brown","ARHGAP26"
"645","brown","ARHGAP31"
"646","brown","ARHGAP32"
"653","brown","ARHGAP6"
"659","brown","ARHGEF11"
"670","brown","ARHGEF9"
"695","brown","ARL6IP4"
"708","brown","ARNT"
"709","brown","ARNT2"
"710","brown","ARNTL"
"723","brown","ARRDC2"
"740","brown","AS3MT"
"768","brown","ASPA"
"794","brown","ATG13"
"799","brown","ATG2B"
"805","brown","ATG7"
"806","brown","ATG9A"
"813","brown","ATP10A"
"814","brown","ATP10B"
"824","brown","ATP1A2"
"828","brown","ATP1B2"
"835","brown","ATP2B3"
"862","brown","ATP6V1D"
"866","brown","ATP6V1H"
"870","brown","ATP8B2"
"886","brown","AUH"
"896","brown","AVPI1"
"920","brown","B3GNT7"
"939","brown","BAG2"
"977","brown","BCAP29"
"984","brown","BCCIP"
"998","brown","BCL2L13"
"1003","brown","BCL6"
"1006","brown","BCL7B"
"1015","brown","BDH2"
"1020","brown","BECN1"
"1040","brown","BHLHE40"
"1042","brown","BHMT2"
"1045","brown","BICD2"
"1053","brown","BIRC6"
"1076","brown","BMP8A"
"1108","brown","BPIL2"
